financial_year,tax_type,tax_collected
2002,Income Tax,10876295
2002,Goods and Services Tax,2166493
2002,Property Tax,1232593
2002,Stamp Duty,695437
2002,Betting Taxes,1549545
2002,Estate Duty,75607
2003,Income Tax - Corporate Income Tax,5923741
2003,Income Tax - Individual Income Tax and Withholding Tax,3865164
2003,Goods and Services Tax,2958598
2003,Property Tax,1331566
2003,Stamp Duty,742874
2003,Betting Taxes,1524135
2003,Estate Duty,181791
2004,Income Tax - Corporate Income Tax,6108599
2004,Income Tax - Individual Income Tax and Withholding Tax,3959460
2004,Goods and Services Tax,3471884
2004,Property Tax,1701983
2004,Stamp Duty,815369
2004,Betting Taxes,1534031
2004,Estate Duty,356612
2005,Income Tax - Corporate Income Tax,7340767
2005,Income Tax - Individual Income Tax,3428132
2005,Income Tax - Withholding Tax,898432
2005,Goods and Services Tax,3816618
2005,Property Tax,1829177
2005,Stamp Duty,966677
2005,Betting Taxes,1500586
2005,Estate Duty,80687
2006,Income Tax - Corporate Income Tax,8476655
2006,Income Tax - Individual Income Tax,3745458
2006,Income Tax - Withholding Tax,963982
2006,Goods and Services Tax,3978553
2006,Property Tax,2014471
2006,Stamp Duty,2015038
2006,Betting Taxes,1571149
2006,Estate Duty,98031
2007,Income Tax - Corporate Income Tax,9273070
2007,Income Tax - Individual Income Tax,4550289
2007,Income Tax - Withholding Tax,1150270
2007,Goods and Services Tax,6166601
2007,Property Tax,2428533
2007,Stamp Duty,3676667
2007,Betting Taxes,1713491
2007,Estate Duty,153682
2008,Income Tax - Corporate Income Tax,10599444
2008,Income Tax - Individual Income Tax,5430482
2008,Income Tax - Withholding Tax,1175956
2008,Goods and Services Tax,6488202
2008,Property Tax,2856505
2008,Stamp Duty,1431620
2008,Betting Taxes,1771028
2008,Estate Duty,47438
2009,Income Tax - Corporate Income Tax,9589477
2009,Income Tax - Individual Income Tax,6128687
2009,Income Tax - Withholding Tax,1137220
2009,Goods and Services Tax,6914786
2009,Property Tax,1979434
2009,Stamp Duty,2386217
2009,Betting Taxes,1727049
2009,Estate Duty,8196
2010,Income Tax - Corporate Income Tax,10725754
2010,Income Tax - Individual Income Tax,6489742
2010,Income Tax - Withholding Tax,957394
2010,Goods and Services Tax,8199540
2010,Property Tax,2798590
2010,Stamp Duty,3276535
2010,Betting Taxes,2278659
2010,Estate Duty,5170
2011,Income Tax - Corporate Income Tax,12149134
2011,Income Tax - Individual Income Tax,6893340
2011,Income Tax - Withholding Tax,1258048
2011,Goods and Services Tax,8689164
2011,Property Tax,3899038
2011,Stamp Duty,3175069
2011,Betting Taxes,2373396
2011,Estate Duty,2922
2012,Income Tax - Corporate Income Tax,12848677
2012,Income Tax - Individual Income Tax,7734969
2012,Income Tax - Withholding Tax,1337325
2012,Goods and Services Tax,9040201
2012,Property Tax,3777240
2012,Stamp Duty,4309493
2012,Betting Taxes,2304850
2012,Estate Duty,8156
2013,Income Tax - Corporate Income Tax,12705235
2013,Income Tax - Individual Income Tax,7703800
2013,Income Tax - Withholding Tax,1152449
2013,Goods and Services Tax,9515522
2013,Property Tax,4178867
2013,Stamp Duty,3929920
2013,Betting Taxes,2378764
2013,Estate Duty,3087
2014,Income Tax - Corporate Income Tax,13392911
2014,Income Tax - Individual Income Tax,8936919
2014,Income Tax - Withholding Tax,1125970
2014,Goods and Services Tax,10217395
2014,Property Tax,4340218
2014,Stamp Duty,2783570
2014,Betting Taxes,2590983
2014,Estate Duty,450
2015,Income Tax - Corporate Income Tax,13834219
2015,Income Tax - Individual Income Tax,9244265
2015,Income Tax - Withholding Tax,1402014
2015,Goods and Services Tax,10347372
2015,Property Tax,4455710
2015,Stamp Duty,2768922
2015,Betting Taxes,2718988
2015,Estate Duty,-582
2016,Income Tax - Corporate Income Tax,13615180
2016,Income Tax - Individual Income Tax,10535172
2016,Income Tax - Withholding Tax,1474071
2016,Goods and Services Tax,11082015
2016,Property Tax,4361025
2016,Stamp Duty,3278472
2016,Betting Taxes,2682044
2016,Estate Duty,327
2017,Income Tax - Corporate Income Tax,14964174
2017,Income Tax - Individual Income Tax,10732223
2017,Income Tax - Withholding Tax,1531643
2017,Goods and Services Tax,10962571
2017,Property Tax,4442164
2017,Stamp Duty,4905062
2017,Betting Taxes,2688270
2017,Estate Duty,37
2018,Income Tax - Corporate Income Tax,16060029
2018,Income Tax - Individual Income Tax,11716204
2018,Income Tax - Withholding Tax,1589898
2018,Goods and Services Tax,11140464
2018,Property Tax,4648982
2018,Stamp Duty,4606949
2018,Betting Taxes,2663868
2018,Estate Duty,247
2019,Income Tax - Corporate Income Tax,16747821
2019,Income Tax - Individual Income Tax,12378808
2019,Income Tax - Withholding Tax,1637344
2019,Goods and Services Tax,11165440
2019,Property Tax,4761472
2019,Stamp Duty,4198997
2019,Betting Taxes,2619937
2019,Estate Duty,262
