year,value_of_purchase,percentage
2006,less than $100,26
2006,$100 to $199,21
2006,$200 to $499,21
2006,$500 to $999,10
2006,$1000 to $1999,12
2006,$2000 or more,10
2007,less than $100,28
2007,$100 to $199,22
2007,$200 to $499,17
2007,$500 to $999,12
2007,$1000 to $1999,7
2007,$2000 or more,13
2008,less than $100,29
2008,$100 to $199,15
2008,$200 to $499,18
2008,$500 to $999,16
2008,$1000 to $1999,11
2008,$2000 or more,11
2009,less than $100,24
2009,$100 to $199,14
2009,$200 to $499,20
2009,$500 to $999,16
2009,$1000 to $1999,10
2009,$2000 or more,16
2010,less than $100,23
2010,$100 to $199,16
2010,$200 to $499,17
2010,$500 to $999,16
2010,$1000 to $1999,11
2010,$2000 or more,17
2011,less than $100,22
2011,$100 to $199,13
2011,$200 to $499,20
2011,$500 to $999,16
2011,$1000 to $1999,13
2011,$2000 or more,16
2012,less than $100,30
2012,$100 to $199,14
2012,$200 to $499,16
2012,$500 to $999,15
2012,$1000 to $1999,11
2012,$2000 or more,14
2013,less than $100,23
2013,$100 to $199,19
2013,$200 to $499,16
2013,$500 to $999,13
2013,$1000 to $1999,13
2013,$2000 or more,16
2014,less than $100,32
2014,$100 to $199,20
2014,$200 to $499,19
2014,$500 to $999,11
2014,$1000 to $1999,8
2014,$2000 or more,10
2015,less than $100,35
2015,$100 to $199,25
2015,$200 to $499,21
2015,$500 to $999,9
2015,$1000 to $1999,6
2015,$2000 or more,5
2016,less than $100,35
2016,$100 to $199,24
2016,$200 to $499,21
2016,$500 to $999,10
2016,$1000 to $1999,5
2016,$2000 or more,5
2017,less than $100,35
2017,$100 to $199,25
2017,$200 to $499,21
2017,$500 to $999,9
2017,$1000 to $1999,6
2017,$2000 or more,5
2018,less than $100,37
2018,$100 to $199,25
2018,$200 to $499,20
2018,$500 to $999,7
2018,$1000 to $1999,7
2018,$2000 or more,5
